"","n_trials","alpha1_est","alpha2_est","alpha1_prior","alpha2_prior"
"149",100,0.703029,0.703884,0.560196,0.559373
"150",100,0.517854,0.586591,0.640185,0.750632
"151",100,0.521884,0.603221,0.815664,0.548049
"152",100,0.614366,0.6162,0.622989,0.741362
"153",100,0.625691,0.640568,0.776904,0.691518
"154",100,0.747227,0.695248,0.600179,0.721501
"155",100,0.707382,0.784874,0.661892,0.668145
"156",100,0.545115,0.421836,0.712176,0.597641
"157",100,0.689981,0.621266,0.31693,0.645267
"158",100,0.669041,0.616531,0.516362,0.468167
"159",100,0.432287,0.534314,0.64054,0.490722
"160",100,0.657134,0.593743,0.543236,0.638277
"161",100,0.65395,0.516565,0.630454,0.542701
"162",100,0.676369,0.618835,0.718408,0.740549
"163",100,0.559514,0.66114,0.594586,0.710519
"164",100,0.771099,0.484025,0.6666,0.524811
"165",100,0.380067,0.754026,0.79579,0.583745
"166",100,0.627711,0.830796,0.597852,0.690455
"167",100,0.702565,0.410097,0.657585,0.644017
"168",100,0.680037,0.598801,0.647155,0.499673
"169",100,0.494522,0.475335,0.634693,0.643281
"170",100,0.793054,0.722743,0.575761,0.561168
"171",100,0.634553,0.509295,0.438714,0.488991
"172",100,0.632768,0.451327,0.527375,0.581105
"173",100,0.540493,0.758225,0.614109,0.583519
"174",100,0.75184,0.766937,0.674425,0.340218
"175",100,0.453949,0.711406,0.737147,0.429508
"176",100,0.750438,0.807699,0.371615,0.641079
"177",100,0.763025,0.822153,0.654326,0.655666
"178",100,0.561757,0.397729,0.680235,0.704978
"179",100,0.47706,0.359117,0.686018,0.70363
"180",100,0.632923,0.717769,0.571075,0.533015
"181",100,0.847426,0.577403,0.628509,0.421008
"182",100,0.486894,0.673878,0.793338,0.817613
"183",100,0.407388,0.459117,0.717897,0.639122
"184",100,0.385818,0.501749,0.629711,0.325303
"185",100,0.541884,0.769935,0.690848,0.652881
"186",100,0.580151,0.623817,0.601364,0.589092
"187",100,0.626992,0.751466,0.716628,0.546711
"188",100,0.714445,0.77488,0.612223,0.784342
"189",100,0.700025,0.784237,0.566621,0.705954
"190",100,0.742632,0.772404,0.707344,0.481195
"191",100,0.59443,0.455455,0.63523,0.609059
"192",100,0.42724,0.643564,0.55679,0.708523
"193",100,0.524887,0.492122,0.698508,0.427108
"194",100,0.507386,0.536777,0.617751,0.733358
"195",100,0.293339,0.519679,0.532522,0.558167
"196",100,0.828557,0.589726,0.711581,0.699311
